english,transliteration,arabic,audioUrl
(pair of) shoes,šūz,شوز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-66.mp3
(pair of) shoes,ʂubbāʈ (ʂabābīʈ),صُبّاط (صبابيط),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-67.mp3
shoe,fárdit šūz,فرْدِة شوز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-68.mp3
shoe,fárdit ʂubbāʈ,فرْدِة صُبّاط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-69.mp3
(pair of) boots,bōt,بوْت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-70.mp3
(pair of) sandals,ʂándal,صنْدل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-71.mp3
(pair of) high heels,ká3ib 3āli,كعِب عالي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-72.mp3
(pair of) slippers,maššēyi,مشّايِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-73.mp3
shoelaces,rábʈit šūz,ربْطِة شوز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-74.mp3
to tie one’s shoes,rábaʈ [55] šūzu,ربط شوزو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-75.mp3
to untie one’s shoes,fakk šūzu,فكّ شوزو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-76.mp3
Your shoelaces have come undone.,rabʈāt šūzak mafkūkīn.,ربْطات شوزك مفْكوكين.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-77.mp3
shoe polish,dhēn šūz,دْهان شوز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-78.mp3
to polish one’s shoes,"lámma3 šūzu, ylámmi3 šūzu",لمّع شوزو، يْلمِّع شوزو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-79.mp3
shoe size,maʔās íjir,مقاس إجِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-80.mp3
What size shoes do you wear?,šū maʔās íjrak?,شو مقاس إجْرك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-81.mp3
I wear size 40.,ána bílbus númra arb3īn.,أنا بِلْبُس نُمْرة أرْبْعين.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-82.mp3
I’m not sure about my size.,miš mʔákkid ʔaddē númrat íjri.,مِش مْأكد قدّيْ نُمْرة إجْري.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-83.mp3
(pair of) socks,kalsēt,كلْسات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-84.mp3
"to wear, to get dressed, to put on","líbis, yílbus",لِبِس، يِلْبُس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-85.mp3
What are you going to wear today?,šū raɧ tílbus ilyōm?,شو رح تِلْبُس اليوْم؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-86.mp3
"He took a shower, got dressed, and left for work.","tɧámmam, líbis, u rāɧ 3a šíɣlu.",تْحمّم، لِبِس، وراح ع شِغْلو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-87.mp3
to take off,"šíliɧ, yíšlaɧ",شِلِح، يِشْلح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-88.mp3
to get undressed,šíliɧ tyēbu,شِلِح تْيابو، يشْلح تْيابو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-89.mp3
I took off my jacket.,šlíɧit jākētti,شْلِحِت جاكيْتّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-90.mp3
to change one’s clothes,ɣáyyar [55] tyēbu,غيّر تْيابو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-91.mp3
(clothing) size,maʔās,مقاس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-92.mp3
small (S),āʂɣar maʔās,أصْغر مقاس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-93.mp3
small (S),smōl,سْموْل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-94.mp3
medium (M),wásaʈ,وَسط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-95.mp3
medium (M),mīdyum,ميدْيُم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-96.mp3
loose; large (L),wēsi3,واسِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-97.mp3
large (L),lārj,لارْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-98.mp3
extra-large (XL),ékstra lārj,اكْسْترا لارْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-99.mp3
tight,ɖáyyiʔ,ضيِّق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-100.mp3
just right (not too loose or tight),3a-lʔadd,عالقدّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-101.mp3
Does the shirt fit you?,zābʈa 3alēk ilʔamīʂ?,زابْط عليْك القميص؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-102.mp3
"Yes, it fits just right.","ē, jēyi 3a-lʔádd.",أيْه، جايِة عالقدّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-103.mp3
It doesn’t fit.,"lā, mánna zābʈa.",لا، منّا زابْطة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-104.mp3
It’s a little big.,šwayy kbīri.,شْويّ كْبيرِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-105.mp3
It’s too tight.,ktīrɖáyyʔa.,كْتير ضيّْقة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-106.mp3
to do the laundry,ɣással [55] ilɣasīl,غسّل الغسيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-107.mp3
to hang out the laundry,"nášar ilɣasīl, yúnšur ilɣasīl",نشر الغسيل، يُنْشُر الغسيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-108.mp3
to dry the laundry,"náššaf ilɣasīl, ynáššif ilɣasīl",نشّف الغسيل، يْنشِّف الغسيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-109.mp3
