english,transliteration,arabic,audioUrl
plural,,جمْع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-96.mp3
masculine,,مُذكّر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-97.mp3
feminine,,مُؤنّث,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-98.mp3
neuter,,مُحايِد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-99.mp3
the present tense,,زمن المُضارِع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-100.mp3
the past tense,,زمن الماضي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-101.mp3
the future tense,,زمن المُسْتقْبل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-102.mp3
article,,أداة تعْريف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-103.mp3
preposition,,حرْفُ جر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-104.mp3
noun,,إسْم (أسْماء),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-105.mp3
verb,,فِعْل (أفْعال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-106.mp3
adjective,,صِفة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-107.mp3
adverb,,ظرْف (ظُروف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-108.mp3
subject,,فاعِل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-109.mp3
object,,مفْعول بِه,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-110.mp3
definite,,مُعرّف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-111.mp3
indefinite,,غيْر مُعرّف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-112.mp3
word order,,ترتيب الكلِمات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-113.mp3
sentence,,جُمْلة (جُمل),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-114.mp3
paragraph,,فقْرة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-115.mp3
vowel,,حرْف مُتحرِّك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-116.mp3
consonant,,حرْف ساكِن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-117.mp3
syllable,,مقْطع لفْظي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-118.mp3
punctuation,,ترْقيم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-119.mp3
punctuation mark,,علامة ترْقيم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-120.mp3
period,,نُقْطة (نُقط),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-121.mp3
comma,,فاصِلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-122.mp3
exclamation mark,,علامة تعجُّب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-123.mp3
question mark,,علامة سْتِفْهام,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-124.mp3
quotation mark,,لاڭِيومي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-125.mp3
colon,,نُقْطتيْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-126.mp3
"parenthesis, bracket",,قَوْس (أقْواس),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-127.mp3
(a pair of) parentheses,,قَوْسيْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav38-128.mp3
