english,transliteration,arabic,audioUrl
calculator,ʔāla ɧásba,آلة حاسْبة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-65.mp3
calculator,[calculator],كلْكوليْتر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-66.mp3
How did you work that out in your head? I need a calculator!,ʔínta ɧasábtə da b-dimāɣak izzāy? ʔána miɧtāg ʔāla ɧásba!,إنْتَ حسبْت ده بِدِماغك إزّايْ؟ أنا مِحْتاج آلة حاسْبة!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-67.mp3
"to add, add up",gáma3 [1s1],جمع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-68.mp3
Add up the price of all the items to get the total.,ígma3 si3rə kull ilɧagāt 3ašān tí3raf ʔigmāli -ssi3r.,اِجْمع سِعْر كُلّ الحاجات عشان تِعْرف إجْمالي السِّعْر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-69.mp3
to subtract,ʈáraɧ [1s1],طرح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-70.mp3
Subtract the smaller amount from the larger one to find the difference.,íʈraɧ irráqam iȿȿuɣáyyar min ilkibīr 3ašān tí3raf ilfárʔ.,اِطْرح الرّقم الصُّغيّر مِن الكِبير عشان تِعْرف الفرْق.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-71.mp3
to multiply by,ɖárab [1s1] fi,ضرب في,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-72.mp3
Multiply the length and width to find the area of the rectangle.,íɖrab iʈʈūl fi -l3arɖ 3ašān tíɧsib misáɧt ilmustaʈīl.,اِضْرب الطّول في العرْض عشان تِحْسِب مِساحْةْ المُسْتطيل.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-73.mp3
to divide by,ʔásam [1s2] 3ála,قسم على,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-74.mp3
Divide the total by the number of people to find the average.,íʔsim irráqam 3ála 3ádad innās 3ašān tí3raf ilmutawássiʈ.,اِقْسِم الرّقم على عدد النّاس عشان تِعْرف المُتَوَسِّط.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-75.mp3
"to equal, be equal to",sāwa [3d],ساوى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-76.mp3
"equals, is",yisāwi,يِساوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-77.mp3
"equals, is",yíbʔa,يِبْقى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-78.mp3
"equals, is",bi,بِـ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-79.mp3
"plus, and",zāʔid,زائِد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-80.mp3
"plus, and",wi,و,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-81.mp3
Three plus two equals five.,talāta zāʔid itnēn yisāwi xámsa.,تلاتة زائِد اِتْنيْن يِساوي خمْسة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-82.mp3
minus,nāʔiȿ,ناقِص,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-83.mp3
minus,min,مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-84.mp3
Ten minus nine equals one.,3ášara nāʔiȿ tís3a ysāwi wāɧid.,عشرة ناقِص تِسْعة يِساوي واحِد.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-85.mp3
