english,transliteration,arabic,audioUrl
all one’s life,ʈūl 3úmru,طول عُمْرُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-62.mp3
year,sána (sinīn),سنة (سِنين),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-63.mp3
How old are you?,3ándak kam sána?,عنْدك كام سنة؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-64.mp3
I’m 20 years old.,3ándi 3išrīn sána.,عنْدي عِشْرين سنة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-65.mp3
to turn __ years old,tamm [1g3] __ sána,تمّ __ سنة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-66.mp3
He’s turning ten years old next week.,haytímmə 3ášar sinīn ilʔisbū3 ilgáyy.,هَيْتِمّ عشر سِنين الإسْبوع الجايّ.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-67.mp3
I turned thirty last month.,tammēt talatīn sána -ššahr ʔílli fāt.,تمّيْت تلاتين سنة الشّهْر اللي فات.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-68.mp3
a ten-year-old boy/child,wálad/wād/3áyyil/ʈiflə 3ándu 3ášar sinīn,وَلد/واد/عيِّل/طِفْل عنْدُه عشر سِنين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-69.mp3
a fifty-year-old woman,sittə 3andáha xamsīn sána,سِتّ عنْدها خمْسين سنة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-70.mp3
When were you born?,itwaládtə ʔímta?,اِتْوَلدْت إمْتى؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-71.mp3
What year were you born?,itwaládtə sánit kām?,اِتْوَلدْت سنِةْ كام؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-72.mp3
I was born in 1980.,itwaládtə sánit ʔalfə tús3u míyya w tamanīn.,اِتْوَلدْت سنِةْ ألْف تُسْعُمية و تمانين.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-73.mp3
death,mōt,موْت,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-74.mp3
to die,māt [1h1],مات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-75.mp3
dead,máyyit (amwāt),ميِّت (أمْوات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-76.mp3
"death, passing",wafāh (wafiyāt),وَفاة (وَفِيات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-77.mp3
to pass away,itwáffa [5d],اِتْوَفّى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-78.mp3
