foots,اقدام,aqdaam,اقدام,aqdaam
back,ظهر,Zahr,ظهر,Zahr
backs,ظهور,Zuhuur,ظهور,Zuhuur
buttocks,ردفان,ridfaan,ردفان,ridfaan
rear end,مؤخّرة,mo'axara,مؤخّرة,mo'axara
lung,رئه,ri'a,رئه,ri'a
lungs,رئات,ri'aat,رئات,ri'aat
heart,قلب,qalb,قلب,qalb
hearts,قلوب,quluub,قلوب,quluub
rib,ضلع,Dila3,ضلع,Dila3
ribs,ضلوع,Duluu3,ضلوع,Duluu3
liver,كبد,kabd,كبد,kabd
livers,كبود,kubuud,كبود,kubuud
kidney,كلية,kulya,كلية,kulya
kidneys,كلى,kula,كلى,kula
colon,,quuluun,قولون,quuluun
colons,قولونات,quuluunaat,قولونات,quuluunaat
pancreas,بنكرياس,bankriiaas,بنكرياس,bankriiaas
bladder,مثانة,mataana,مثانة,mataana
bladders,مثانات,mataanaat,مثانات,mataanaat
appendix,زائدة,zaa'ida,زائدة,zaa'ida
appendixs,زوائد دودية,zawaa'id duudiya,زوائد دودية,zawaa'id duudiya
blood,دمّ,damm,دمّ,damm
bloods,دماء,dimaa',دماء,dimaa'
artery,شريان,širyaan,شريان,širyaan
arterys,شرايين,šaraayiin,شرايين,šaraayiin
vein,عرق,3irq,عرق,3irq
veins,عروق,3uruuq,عروق,3uruuq
jugular vein,,wariid,وريد,wariid
jugular veins,ورد,wurud,ورد,wurud
muscle,عضلة,3aDala,عضلة,3aDala
muscles,عضلات,3aDalaat,عضلات,3aDalaat
bone,عظم,3aZm,عظم,3aZm
bones,عظام,3iZaam,عظام,3iZaam
bone marrow,نخاع,nuxaa3,نخاع,nuxaa3
bone marrows,نخع العظم,nuxu3 al-3aZm,نخع العظم,nuxu3 al-3aZm
hearing,سمع,sam3,سمع,sam3
breath,نفس,nafas,نفس,nafas
breaths,أنفاس,anfaas,أنفاس,anfaas
to tickle,زغزغ - يزغزغ ,zaġzaġ - yizaġzaġ ,زغزغ - يزغزغ ,zaġzaġ - yizaġzaġ 
hiccups,فواق,fuwaaq,زغطة,zuġuTTa
to fart/break wind silently,فسي - يفسي ,fisi - yifsi ,فسي - يفسي ,fisi - yifsi 
a silent fart,,fasya,فسى,fasya
a silent farts,فسيات,fasyaat,فسيات,fasyaat
a loud fart,ضرطة,DarTa,ضرطة,DarTa
a loud farts,ظرطات,ZarTaat,ظرطات,ZarTaat
fat,سمين,samiin,تخين,tixiin
thin,نحيف,naHiif,رفيع,rofayya3
tall,طويل,Tawiil,طويل,Tawiil
talls,طوال,Tuwaal,طوال,Tuwaal
short,قصير,qaSiir,قصير,qaSiir
shorts,قصار,quSaar,قصار,quSaar
beautiful (beauty),جميل ,jamiil ,جميل ,gamiil 
handsome,وسيم,wasiim,وسيم,wasiim
ugly,بشع,baši3,بشع,baši3
uglys,وحشين,weHšiin,وحشين,weHšiin
dye,صبغة,Sibġa,صبغة,Sabġa
tattoo,وشم,wašm,وشم,wašm
tattoos,وشوم,wušuum,وشوم,wušuum
scar,ندبة,nadba,ندبة,nadba
scars,أنداب,andaab,أنداب,andaab
